az
az.tools.predictor
azureAD
azureADPreview
intuneWin32App
Microsoft.Graph
Microsoft.PowerShell.SecretManagement
Microsoft.PowerShell.SecretStore
MicrosoftTeams
PSScriptAnalyzer
PSReadLine
ExchangeOnlineManagement
Chocolatey
